time,isFallen,recoveryState,recoveryTimer,up_z,isProne,r_hip_tgt,r_knee_tgt,r_ankle_tgt,r_arm_tgt
0.362,1,0,0.001,0.595197,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.002,0.5907,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.003,0.586187,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.004,0.581655,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.005,0.577105,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.006,0.572537,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.007,0.567951,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.008,0.563347,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.009,0.558726,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.01,0.554088,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.011,0.549432,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.012,0.544759,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.013,0.540069,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.014,0.535363,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.015,0.530639,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.016,0.525899,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.017,0.521143,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.018,0.51637,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.019,0.511582,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.02,0.506777,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.021,0.501957,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.022,0.497121,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.023,0.492269,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.024,0.487403,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.025,0.482521,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.026,0.477624,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.027,0.472712,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.028,0.467785,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.029,0.462844,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.03,0.457888,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.031,0.452918,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.032,0.447934,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.033,0.442936,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.034,0.437924,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.035,0.432899,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.036,0.42786,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.037,0.422808,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.038,0.417743,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.039,0.412664,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.04,0.407573,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.041,0.402469,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.042,0.397352,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.043,0.392224,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.044,0.387082,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.045,0.381929,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.046,0.376764,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.047,0.371587,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.048,0.366399,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.049,0.361199,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.05,0.355988,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.051,0.350766,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.052,0.345533,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.053,0.340289,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.054,0.335035,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.055,0.32977,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.056,0.324495,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.057,0.31921,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.058,0.313915,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.059,0.30861,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.06,0.303296,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.061,0.297972,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.062,0.292638,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.063,0.287296,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.064,0.281945,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.065,0.276585,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.066,0.271216,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.067,0.265839,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.068,0.260454,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.069,0.25506,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.07,0.249659,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.071,0.24425,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.072,0.238833,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.073,0.233409,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.074,0.227977,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.075,0.222539,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.076,0.217093,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.077,0.211641,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.078,0.206182,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.079,0.200717,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.08,0.195245,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.081,0.189768,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.082,0.184284,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.083,0.178795,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.084,0.173301,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.085,0.1678,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.086,0.162295,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.087,0.156785,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.088,0.151269,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.089,0.14575,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.09,0.140225,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.091,0.134696,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.092,0.129163,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.093,0.123626,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.094,0.118085,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.095,0.112541,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.096,0.106993,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.097,0.101442,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.098,0.0958871,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.099,0.0903297,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.1,0.0847695,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.101,0.0792066,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.102,0.0736413,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.103,0.0680737,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.104,0.0625041,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.105,0.0569324,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.106,0.0513591,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.107,0.0457841,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.108,0.0402078,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.109,0.0346302,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.11,0.0290515,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.111,0.023472,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.112,0.0178917,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.113,0.0123109,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.114,0.00672979,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.115,0.00114845,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.116,-0.00443291,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.117,-0.0100141,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.118,-0.015595,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.119,-0.0211753,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.12,-0.026755,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.121,-0.0323338,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.122,-0.0379116,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.123,-0.0434882,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.124,-0.0490634,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.125,-0.0546371,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.126,-0.060209,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.127,-0.0657791,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.128,-0.071347,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.129,-0.0769127,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.13,-0.082476,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.131,-0.0880367,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.132,-0.0935947,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.133,-0.0991497,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.134,-0.104702,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.135,-0.11025,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.136,-0.115795,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.137,-0.121337,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.138,-0.126875,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.139,-0.132408,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.14,-0.137938,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.141,-0.143463,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.142,-0.148984,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.143,-0.1545,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.144,-0.160011,0,-0.04,0.04,0,-0.0984229
