Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0320177364511636","0,0917082584122773","0,414834984191337",0,0,0,"1,20894830394371","0,00130870623525641","3,53640853218352E-06","-4,78758868977005E-11","0,00296520312696513","-2,52026599335997E-09","0,00224673444361861",0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/base_link.STL,,robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_FRM_PELV_01.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_FRM_PELV_01.stp_3.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/DUMMY_NX05_100W_STD_AF1_ASM.stp_3.stp-1/DUMMY_NX05_B05_100W.stp_3.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/edit perut_3.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/DUMMY_NX05_100W_STD_AF0_ASM.stp_3.stp-1/DUMMY_NX05_B05_100W.stp_3.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/servo besar_3.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/bearing(2)_3.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_knee_yaw_2,"-9,14116576877788E-09","-0,0212030724133625","-0,000549836112362728",0,0,0,"0,0905486593238557","0,000127817319431781","-3,78034630703217E-12","2,32028197764191E-09","0,000131683270697395","-2,54507822341063E-07","4,9622831525886E-05",0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/right_knee_yaw_2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/right_knee_yaw_2.STL,,robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_FRM_HINGE_X1_ASM.stp_3.stp-3/PR23_FRM_HINGE_X_01_A.stp_3.stp-4;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_FRM_HINGE_X1_ASM.stp_3.stp-3/PR23_FRM_HINGE_X_01_BASE_2.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_FRM_HINGE_X1_ASM.stp_3.stp-3/PR23_FRM_HINGE_X_01_A.stp_3.stp-3,O_right_knee_yaw2,A_right_knee_yaw2,right_knee_yaw_2,continuous,"-0,062687493744489","0,079702441043673","0,324628981831047","1,5707963267949",0,0,base_link,0,-1,0,,,,,,,,,,,,
right_knee_roll_2,"0,000199461439074192","-2,4307394985712E-10","-0,0668334209071521",0,0,0,"0,373751026274855","0,000488223826066164","-3,92142412068505E-12","-4,18131988512594E-06","0,000469775042973764","3,9179567122877E-12","0,000168765726366909",0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/right_knee_roll_2.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/right_knee_roll_2.STL,,robot_esr_v2_set.stp-1/body bawah_3.stp-1/joint bearing_3.stp-3;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/DUMMY_NX05_200W_STD_ASM.stp_3.stp-6/DUMMY_NX05_B05_200W.stp_3.stp-4;robot_esr_v2_set.stp-1/body bawah_3.stp-1/bearing_3.stp-6;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR15_B04_ADAPTOR-1_REV2.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR15_B04_ADAPTOR-1_REV2.stp_3.stp-1,O_right_knee_roll2,A_right_knee_roll2,right_knee_roll_2,revolute,0,"-0,075","0,0635",0,0,0,right_knee_yaw_2,0,0,-1,0,0,"-1,57","1,57",,,,,,,,
right_knee_pitch_2,"-0,0560734707503283","-0,173077643429645","0,0115438498779585",0,0,0,"1,04158252788778","0,00203317485341977","-6,7686236671143E-06","-1,16254990385324E-06","0,00109415475388276","0,000165857851604364","0,00240957900807176",0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/right_knee_pitch_2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/right_knee_pitch_2.STL,,robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_FRM_THIGH_HINGE.stp_3.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR15_B04_IDLER_HOUSING_RTN.stp_3.stp-3;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_A01_BELT_MODULE_ASM.stp_3.stp-1/DUMMY_NX05_B05_2ND_MODULE.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_A01_BELT_MODULE_ASM.stp_3.stp-1/PR23_FRM_MODULE_BELT_BASE.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_A01_BELT_MODULE_ASM.stp_3.stp-1/PR23_FRM_MODULE_BELT_CVR.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_A01_BELT_MODULE_ASM.stp_3.stp-1/DUMMY_NX05_B05_200W_1ST_MODULE.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_FRM_THIGH_L_B.stp_3.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/DUMMY_NX05_200W_STD_ASM.stp_3.stp-7/DUMMY_NX05_B05_200W.stp_3.stp-4;robot_esr_v2_set.stp-1/body bawah_3.stp-1/joint bearing_3.stp-5,O_right_knee_pitch2,A_right_knee_pitch2,right_knee_pitch_2,revolute,"0,03",0,"-0,0755",0,0,0,right_knee_roll_2,1,0,0,0,0,"-1,57","1,57",,,,,,,,
right_knee_pitch_4,"-0,0645776005941406","-0,173676937109752","-0,0232634740131645",0,0,0,"0,835929447457344","0,00137391625427331","1,75762575681254E-05","6,94596148270738E-07","0,000799356646118651","6,19624066727838E-05","0,00156571865341765",0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/right_knee_pitch_4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/right_knee_pitch_4.STL,,robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR23_FRM_CALF_HINGE_04.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/bearing_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR23_FRM_CALF_L_B.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR23_FRM_CALF_HINGE_03.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR23_FRM_THIGH_HINGE.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR23_A01_BELT_MODULE_ASM.stp_MIR1_1.stp-1/PR23_FRM_MODULE_BELT_BASE.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR23_A01_BELT_MODULE_ASM.stp_MIR1_1.stp-1/PR23_FRM_MODULE_BELT_CVR.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR23_A01_BELT_MODULE_ASM.stp_MIR1_1.stp-1/DUMMY_NX05_B05_200W_1ST_MODULE.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR23_A01_BELT_MODULE_ASM.stp_MIR1_1.stp-1/DUMMY_NX05_B05_2ND_MODULE.stp_MIR1_1.stp-1,O_right_knee_pitch4,A_right_knee_pitch4,right_knee_pitch_4,revolute,"0,0095","-0,2983565686105","0,0313585389803",0,0,0,right_knee_pitch_2,-1,0,0,0,0,"-1,57","1,57",,,,,,,,
right_knee_pitch_6,"-0,0441054138408042","0,000392268583459365","0,00748491838273713",0,0,0,"0,373638008914563","0,000489829889049263","-2,18829129103133E-07","-4,17558961464294E-06","0,000469338580375331","-1,57747419347536E-05","0,000169165535009898",0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/right_knee_pitch_6.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/right_knee_pitch_6.STL,,robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/DUMMY_NX05_200W_STD_ASM.stp_MIR1_1.stp-1/DUMMY_NX05_B05_200W.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR15_B04_ADAPTOR-1_REV2.stp_MIR1_1.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR15_B04_ADAPTOR-1_REV2.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/joint bearing_3.stp-9;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR15_B04_IDLER_HOUSING_RTN.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR15_B04_IDLER_SHAFT.stp_MIR1_1.stp-1,O_right_knee_pitch6,A_right_knee_pitch6,right_knee_pitch_6,revolute,"0,0054","-0,299588860426366","-0,0157007868728399",0,0,0,right_knee_pitch_4,-1,0,0,0,0,"-1,57","1,57",,,,,,,,
right_knee_roll_6,"-0,00877551300175683","-0,0994360449284384","-0,0685529813517118",0,0,0,"0,582169416820037","0,00179590396242748","-7,39342634066645E-06","3,87413701535552E-07","0,00250246847092562","-8,91027341566516E-05","0,000800345696048902",0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/right_knee_roll_6.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/right_knee_roll_6.STL,,robot_esr_v2_set.stp-1/body bawah_3.stp-1/bearing_3.stp-8;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR23_FRM_HINGE_X2_ASM.stp_MIR1_1.stp-1/PR23_FRM_HINGE_X_01_A_2.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR23_FRM_HINGE_X2_ASM.stp_MIR1_1.stp-1/PR23_FRM_HINGE_X_02_A_BASE.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR23_FRM_HINGE_X2_ASM.stp_MIR1_1.stp-1/PR23_FRM_HINGE_X_01_B.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR23_A01_FOOT_R.stp_MIR1_1.stp-1;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/kaki kanan_MIR1_1.stp-1/PR15_SENSOR_ATI_MINI58.stp_MIR1_1.stp-1,O_right_knee_roll6,A_right_knee_roll6,right_knee_roll_6,revolute,"-0,0449","0,00396953513345899","0,0758962701976469",0,0,0,right_knee_pitch_6,0,"-0,0539354644565491","-0,998544423485433",0,0,"-1,57","1,57",,,,,,,,
left_knee_yaw_1,"-9,14116575490009E-09","-0,0212030724133625","-0,000549836112362728",0,0,0,"0,0905486593238557","0,000127817319431781","-3,78034631307514E-12","2,32028197764481E-09","0,000131683270697396","-2,54507822341067E-07","4,9622831525886E-05",0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/left_knee_yaw_1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/left_knee_yaw_1.STL,,robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_FRM_HINGE_X1_ASM.stp_3.stp-2/PR23_FRM_HINGE_X_01_A.stp_3.stp-4;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_FRM_HINGE_X1_ASM.stp_3.stp-2/PR23_FRM_HINGE_X_01_BASE_2.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_FRM_HINGE_X1_ASM.stp_3.stp-2/PR23_FRM_HINGE_X_01_A.stp_3.stp-3,O_left_knee_yaw1,A_left_knee_yaw1,left_knee_yaw_1,continuous,"0,123312506255511","0,079702441043673","0,324628981831047","1,5707963267949",0,0,base_link,0,-1,0,,,,,,,,,,,,
left_knee_roll_1,"-0,000199461302324316","4,0195408113064E-10","-0,0668334212991907",0,0,0,"0,37375102245887","0,000488223818470472","-3,07401873345465E-12","4,18131769076044E-06","0,000469775035635397","-6,47041005336953E-12","0,000168765724652978",0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/left_knee_roll_1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/left_knee_roll_1.STL,,robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/DUMMY_NX05_200W_STD_ASM.stp_3.stp-8/DUMMY_NX05_B05_200W.stp_3.stp-4;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR15_B04_ADAPTOR-1_REV2.stp_3.stp-3;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR15_B04_ADAPTOR-1_REV2.stp_3.stp-4;robot_esr_v2_set.stp-1/body bawah_3.stp-1/joint bearing_3.stp-8;robot_esr_v2_set.stp-1/body bawah_3.stp-1/bearing_3.stp-4,O_left_knee_roll1,A_left_knee_roll1,left_knee_roll_1,revolute,0,"-0,075","0,0635",0,0,0,left_knee_yaw_1,0,0,-1,0,0,"-1,57","1,57",,,,,,,,
left_knee_pitch_1,"0,0559741664227049","-0,172670639450367","0,011498855021244",0,0,0,"1,04403766124101","0,00203376131948809","6,46258546849025E-06","1,83434883445587E-06","0,00109445241096865","0,000164908899709386","0,00240987665792666",0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/left_knee_pitch_1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_esr_v2_rev/meshes/left_knee_pitch_1.STL,,robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_A01_BELT_MODULE_ASM.stp_3.stp-2/DUMMY_NX05_B05_2ND_MODULE.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_A01_BELT_MODULE_ASM.stp_3.stp-2/PR23_FRM_MODULE_BELT_BASE.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_A01_BELT_MODULE_ASM.stp_3.stp-2/PR23_FRM_MODULE_BELT_CVR.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR15_B04_IDLER_HOUSING_RTN.stp_3.stp-4;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_FRM_THIGH_HINGE.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR15_B04_IDLER_SHAFT.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_A01_BELT_MODULE_ASM.stp_3.stp-2/DUMMY_NX05_B05_200W_1ST_MODULE.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/PR23_FRM_THIGH_L_B.stp_3.stp-2;robot_esr_v2_set.stp-1/body bawah_3.stp-1/asem_stp.stp_3.stp-1/PR23_A01_BL_ASM.stp_3.stp-1/DUMMY_NX05_200W_STD_ASM.stp_3.stp-9/DUMMY_NX05_B05_200W.stp_3.stp-4;robot_esr_v2_set.stp-1/body bawah_3.stp-1/joint bearing_3.stp-4,O_left_knee_pitch1,A_left_knee_pitch1,left_knee_pitch_1,revolute,"-0,03",0,"-0,0755",0,0,0,left_knee_roll_1,-1,0,0,0,0,"-1,57","1,57",,,,,,,,
